outcome,category,predictor,variable_label,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n_obs,significance
self_reported_poor,Infrastructure,wat_disrupt,Water Service Disruption,wat_disrupt,0.05076771660231761,0.020252244494309606,2.5067698850160594,0.012196756098554305,0.011074046787371193,0.09046138641726403,14120,*
self_reported_poor,Infrastructure,no_wat_disrupt,No Water Service Disruption,no_wat_disrupt,-0.05076771660231761,0.020252244494309606,-2.5067698850160594,0.012196756098554305,-0.09046138641726403,-0.011074046787371193,14120,*
self_reported_poor,Infrastructure,elec_disrupt,Electricity Disruption,elec_disrupt,0.02928654702477621,0.01107947035135955,2.6433165210990874,0.008220202313118787,0.007571184168332155,0.05100190988122026,14120,**
self_reported_poor,Infrastructure,no_elec_disrupt,No Electricity Disruption,no_elec_disrupt,-0.029286547024776198,0.01107947035135955,-2.6433165210990865,0.008220202313118815,-0.05100190988122025,-0.007571184168332145,14120,**
self_reported_poor,Infrastructure,homeint_dis,Home Internet Disruption,homeint_dis,-0.008159539943721601,0.013012212884743773,-0.6270678182100978,0.5306720190147707,-0.03366300855698744,0.01734392866954423,3115,
self_reported_poor,Infrastructure,nohomeint_dis,No Home Internet Disruption,nohomeint_dis,0.008159539943721603,0.013012212884743773,0.6270678182100979,0.5306720190147707,-0.017343928669544227,0.03366300855698744,3115,
self_reported_poor,Infrastructure,mobint_dis,Mobile Internet Disruption,mobint_dis,-0.003705195200575899,0.007961608922312728,-0.4653827180825148,0.6416669866724928,-0.019309661947301594,0.011899271546149797,12252,
self_reported_poor,Infrastructure,nomobint_dis,No Mobile Internet Disruption,nomobint_dis,0.003705195200575899,0.007961608922312728,0.4653827180825148,0.6416669866724928,-0.011899271546149797,0.019309661947301594,12252,
self_reported_poor,Financial Hardship,unab_pay_util,Unable to Pay Utilities,unab_pay_util,0.021243299525664127,0.013623931957336018,1.559263477840943,0.1189599492391043,-0.005459116438538747,0.047945715489867,13990,
self_reported_poor,Financial Hardship,able_pay_util,Able to Pay Utilities,able_pay_util,-0.02124329952566412,0.013623931957336018,-1.5592634778409427,0.11895994923910438,-0.047945715489866994,0.005459116438538754,13990,
self_reported_poor,Education,miss_school,Child Missed Scheduled School,miss_school,-6.122844912344134e-4,0.010220749335407594,-0.05990602754665797,0.95223198896998,-0.020644585083644983,0.01942001610117616,9153,
self_reported_poor,Education,no_miss_sch,No Missed School,no_miss_sch,6.122844912344119e-4,0.010220749335407594,0.059906027546657824,0.9522319889699802,-0.01942001610117616,0.020644585083644983,9153,
self_reported_poor,Health Issues,maj_illInj,Major Illness or Injury in Household,maj_illInj,0.03421524565433765,0.02380969234096607,1.437030145722134,0.15073478780743743,-0.012450893816935003,0.0808813851256103,14120,
self_reported_poor,Health Issues,maj_birth,Birth in Household,maj_birth,0.07270162316608857,0.05272611760775305,1.378854094794915,0.16796474270424436,-0.03063966838973059,0.17604291472190772,14120,
self_reported_poor,Health Issues,need_health,Needed Healthcare,need_health,0.0225700034675903,0.0143875199288856,1.5687209177918744,0.11673862855820866,-0.005629017419877747,0.050769024355058354,14120,
self_reported_poor,Health Issues,forgo_health,Forgone Healthcare,forgo_health,0.029774392872539142,0.04137910095333681,0.7195514688952694,0.47224466059239156,-0.051327154708647994,0.11087594045372628,692,
self_reported_poor,Health Issues,sick,Anyone in Household Been Sick,sick,0.011145582724347076,0.006488303691733398,1.717796091842528,0.08585890840629724,-0.0015712588322086534,0.023862424280902808,14120,.
self_reported_poor,Health Issues,death,Death in Household,death,0.027158327991633213,0.06055649547184447,0.44847918922686636,0.6538152783672619,-0.09153022216314478,0.1458468781464112,14120,
self_reported_poor,Financial Hardship,worsefinwb_last,Finances Worse Than Last Month,worsefinwb_last,0.043211119410712616,0.008680431537422876,4.977992076133754,6.516659196960457e-7,0.026197786227098133,0.0602244525943271,13425,***
self_reported_poor,Financial Hardship,worsefinwb_next,Expects Worse Finances Next Month,worsefinwb_next,0.031141816604590634,0.01580908198603059,1.9698687521583187,0.04888151871776885,1.5658528332973543e-4,0.06212704792585153,11507,*
self_reported_poor,Financial Hardship,befinwb_last,Finances Better Than Last Month,befinwb_last,-0.043211119410712616,0.008680431537422876,-4.977992076133754,6.516659196960457e-7,-0.0602244525943271,-0.026197786227098133,13425,***
self_reported_poor,Financial Hardship,befinwb_next,Expects Better Finances Next Month,befinwb_next,-0.031141816604590644,0.01580908198603059,-1.9698687521583194,0.04888151871776876,-0.06212704792585154,-1.5658528332974583e-4,11507,*
self_reported_poor,Financial Hardship,borrow,Had to Borrow Money,borrow,0.03524311587316538,0.009828324279852474,3.585872308406819,3.3725152904771514e-4,0.015979954256273972,0.054506277490056786,14120,***
self_reported_poor,Financial Hardship,noborrow,Did Not Need to Borrow,noborrow,-0.03524311587316538,0.009828324279852474,-3.585872308406819,3.3725152904771514e-4,-0.054506277490056786,-0.015979954256273972,14120,***
self_reported_poor,Financial Hardship,dissave,Used Savings for Basic Needs,dissave,0.011359239644212961,0.009959469282183497,1.1405466819937398,0.25408075631409477,-0.008160961453999672,0.030879440742425594,14120,
self_reported_poor,Financial Hardship,no_save,No Savings Available,no_save,0.026753850136636524,0.0074256216105265125,3.602910509028691,3.159116528803107e-4,0.012199899217182252,0.0413078010560908,14120,***
self_reported_poor,Financial Hardship,sell_asset,Sold Assets for Basic Needs,sell_asset,0.012009352620146893,0.015671057832314008,0.7663396273979277,0.4434889078416928,-0.018705356330832885,0.04272406157112667,14120,
self_reported_poor,Economic Perceptions,badloc_econ,Local Economy is Bad,badloc_econ,0.049871484425497464,0.00917302438723742,5.4367548062866256,5.5292614255899215e-8,0.03189268699720453,0.0678502818537904,14120,***
self_reported_poor,Economic Perceptions,goodloc_econ,Local Economy is Good,goodloc_econ,-0.049871484425497464,0.00917302438723742,-5.4367548062866256,5.5292614255899215e-8,-0.0678502818537904,-0.03189268699720453,14120,***
self_reported_poor,Public Services,open_dialogue,Open Dialogue with Government,open_dialogue,-0.004733136323674242,0.00877708647328423,-0.5392605323054527,0.5897168291819643,-0.021935909700505008,0.012469637053156523,14120,
